CNQ Daily Market Summary June 21 2007 Closing Numbers

Stock               Symbol         Vol(00s)	   High	    Low	  Close	  Change	   52W Hi	   52W Lo
Perial Ltd.         	PERL        	0.06   	0.135  	0.135    	0.135    
Park Lawn Company   	PLCL        	2.75   	12.50  	18.50    	1.06     
Redzone Res         	REDZ        	0.36   	0.50   	0.43     	0.30     
Range Metals Inc.   	RMIC        	1.10   	1.25   	2.00     	0.50     
Roxmark Mines Ltd   	RMKL        	0.125  	0.45   	0.35     	0.10     
Rockhaven           	ROCK        	0.46   	0.60   	0.46     	0.40     
RX Exploration      	RXEX        	0.10   	0.25   	0.12     	0.05     
Wintercrest Res     	SMRT        	0.00   	0.025  	0.005    	0.005    
Simplex             	SPLX        	0.015  	0.05   	0.135    	0.005    
Sunorca Dev.        	SUNO        	0.10   	0.14   	0.15     	0.04     
Talmora Diamond     	TALM        	0.05   	0.10   	0.10     	0.05     
Titan Emp Serv Ltd  	TESI        	0.35   	0.80   	0.00     	0.00     
Triangle MS Corp.   	TTTM        	0.04   	0.06   	0.05     	0.02     
United Reef Ltd     	URPL        	0.03   	1.00   	0.00     	0.00     
Vital               	VITL        	0.145  	0.185  	0.48     	0.14     
VisionSky           	VSKY        	0.22   	0.32   	0.48     	0.20     
VisionSky Wts       	VSKY.W      	0.00   	0.00   	0.00     	0.00     
Gray Wolf Deb       	WOLF.D      	0.00   	25.00  	40.00    	40.00    
Gray Wolf Cl B Pr.  	WOLF.P.B    	0.00   	0.005  	0.05     	0.005    

   Total Volume    Total Value    # of Trades       Advanced       Declined      Unchanged
      2,568,135     $1,033,133            152              9              0             16

Note:  z - Full Volume.
