CNSX Trading Daily Market Summary November 18 2009 Closing Numbers

Stock                                   	Symbol  	Vol(00s)	        High	     Low	   Close	   Change	           52W Hi	          52W Lo
Manitoba Hydro Bonds 10 - 5yr Cpd Fixed 	HJC.DB  	 100.000	        	          110.000	         100.000
HMZ Metals Inc.                         	HMZ     	        	        	            0.010	           0.005
Hy Lake Gold Inc.                       	HYL     	   0.150	   0.210	            0.250	           0.010
Manitoba Hydro Bonds 9 - Ann Fltg 1%6/15	IFH.DB  	        	        	          100.000	         100.000
InCana Investments Inc.                 	IIN     	   0.050	        	            0.050	           0.050
American Insulock Inc.                  	INS.U   	        	        	            0.035	           0.005
Kokomo Enterprise                       	KKO     	   0.070	   0.100	            0.110	           0.080
La Imperial Resources Inc.              	LAI     	   0.030	   0.090	            0.030	           0.005
Lands End Resources Ltd.                	LND     	        	   0.150	            0.250	           0.150
Lexaria Corp.                           	LXX     	   0.150	        	                 	                
McLaren Resources Inc.                  	MCL     	        	        	            0.060	           0.040
Minerva Minerals Ltd.                   	MIL     	   0.050	   0.800	            0.060	           0.050
Magna Resources Ltd.                    	MNA     	   0.120	   0.220	            0.250	           0.095
Micromem Technologies Inc.              	MRM     	   0.630	   0.950	            2.100	           0.500
Mavrix Fund Management Inc. 8.0%30JUN10 	MVX.DB  	  90.010	  99.470	           99.500	          90.050
Nexia Biotechnologies Ltd.              	NBL     	   0.005	   0.005	            0.030	           0.005
Plaintree Systems Inc.                  	NPT     	   0.015	   0.010	            0.350	           0.010
Nass Valley Gateway Ltd.                	NVG     	   0.040	   0.120	            0.050	           0.015
OnePak, Inc.                            	OPK     	   0.400	   0.750	            0.500	           0.400
Ona Power Corporation                   	OPO     	   0.400	   0.650	            0.750	           0.150
Otterburn Ventures Inc.                 	OTB     	   0.045	   0.500	            0.130	           0.025
Preo Software Inc.                      	PKM     	   0.125	   0.200	            0.220	           0.060
Petrol One Corp.                        	POV     	   0.840	   0.005	            0.400	           0.075
Park Lawn Company Limited               	PRL     	   2.100	        	            2.900	           2.000
Quinsam Capital Corporation             	QCA     	   0.015	   0.040	            0.025	           0.005
Redzone Resources Ltd.                  	REZ     	   0.440	   0.550	            0.750	           0.070
Renforth Resources Inc.                 	RFR     	   0.010	   0.050	            0.050	           0.010
Regal Resources Inc.                    	RGR     	   0.070	   0.115	            0.130	           0.080
CIC Mining Resources Ltd.               	RRR     	        	   0.050	            0.150	           0.010
RX Exploration                          	RXE     	   0.500	   0.410	            0.470	           0.100
Scarlet Resources Ltd.                  	SCT     	   0.195	   0.250	            0.330	           0.190
Silver Phoenix Resources Inc.           	SP      	   0.060	   0.500	                 	                
Sunorca Development Corp.               	SUN     	   0.030	   0.200	            0.020	           0.005
TrustMark Auto Group Inc.               	TAF     	   0.050	   0.010	            0.400	           0.050
Talmora Diamond Inc.                    	TAI     	   0.025	   0.080	            0.030	           0.020
Triple Dragon Resources Inc.            	TDN     	   0.220	   0.280	            0.370	           0.065
Triangle Multi-Services Corp.           	TMS     	        	        	            0.015	           0.005
Toro Resources Corp.                    	TRK     	   0.050	   0.100	            0.050	           0.020
VisionSky Corporation                   	VKY     	        	   0.010	            0.010	           0.005
Valterra Resource Corp.                 	VTA     	   0.060	   0.080	            0.160	           0.030
Wedge Energy International Inc.         	WEG     	   0.020	   0.070	            0.100	           0.010
West Isle Energy Inc.                   	WEI     	   0.050	   0.005	            0.100	           0.020
Worldwide Promotional Management Inc.   	WRL     	   0.200	   0.250	            0.550	           0.110

	              Trades:	            104
	        Total Volume:	      1,927,841
	         Total Value:	       $258,908
	            Advanced:	              9
	            Declined:	              6
	           Unchanged:	            109

Note 1:  z - Full Volume.
Note 2:  Change calculated using unadjusted closing prices.
