CNSX Trading Daily Market Summary April 28 2010 Closing Numbers

Stock                                   	Symbol  	Vol(00s)	        High	     Low	   Close	   Change	           52W Hi	          52W Lo
Nass Valley Gateway Ltd.                	NVG     	   0.045	   0.085	            0.100	           0.015
Orca Power Corp.                        	OP      	   0.025	   0.005	            0.120	           0.010
OnePak Inc.                             	OPK     	   0.450	   0.750	            0.500	           0.400
Ona Power Corporation                   	OPO     	   0.100	   0.200	            0.750	           0.150
Petrol One Corp.                        	POV     	   0.250	   0.200	            0.250	           0.115
Park Lawn Company Limited               	PRL     	   3.250	  12.000	            3.000	           2.000
Platoro West Holdings Inc.              	PWH     	   0.030	   0.040	            0.055	           0.010
Quinsam Capital Corporation             	QCA     	   0.010	   0.030	            0.020	           0.015
Redzone Resources Inc. Wts.             	REZ.WT  	   0.050	   0.300	            0.050	           0.020
Renforth Resources Inc.                 	RFR     	   0.015	   0.050	            0.050	           0.010
Range Gold Corp.                        	RGU     	   0.150	   0.005	            0.250	           0.010
CIC Mining Resources Ltd.               	RRR     	        	   0.010	            0.150	           0.010
RTN Stealth Software Inc.               	RTN     	   0.300	   1.000	            0.400	           0.220
Stealth Energy Inc                      	SLH     	   0.160	   0.175	            0.240	           0.050
Silver Phoenix Resources Inc.           	SP      	        	   0.510	            0.580	           0.500
Sunorca Development Corp.               	SUN     	   0.035	   0.050	            0.200	           0.005
Talmora Diamond Inc.                    	TAI     	   0.010	   0.010	            0.030	           0.010
TAC Gold Corp.                          	TCG     	   0.170	   0.200	            0.310	           0.170
Triple Dragon Resources Inc.            	TDN     	   0.145	   0.220	            0.300	           0.125
Triangle Multi-Services Corp.           	TMS     	        	   0.010	                 	                
Toro Resources Corp.                    	TRK     	   0.180	   0.300	            0.250	           0.040
VisionSky Corporation                   	VKY     	        	   0.450	            0.010	           0.010
Valterra Resource Corp.                 	VTA     	   0.060	   0.080	            0.160	           0.025
Wedge Energy International Inc.         	WEG     	   0.005	   0.060	            0.100	           0.005
West Isle Energy Inc.                   	WEI     	   0.040	   0.395	            0.100	           0.020

	              Trades:	            150
	        Total Volume:	      1,647,997
	         Total Value:	       $470,191
	            Advanced:	             13
	            Declined:	             14
	           Unchanged:	            100

Note 1:  z - Full Volume.
Note 2:  Change calculated using unadjusted closing prices.
