CNSX Trading Daily Market Summary August 30 2012 Closing Numbers

Stock                                   	Symbol  	Vol(00s)	        High	     Low	   Close	   Change	           52W Hi	          52W Lo
Finore Mining Inc.                      	FIN     	   0.065	   0.080	            0.500	           0.065
Abattis Biologix Corp.                  	FLU     	   0.030	   0.035	            0.100	           0.025
God s Lake Resources Inc.               	GLR     	   0.120	   0.290	            1.000	           0.160
Immunall Science Inc.                   	GNS     	   0.005	   0.050	            0.010	           0.005
Global SeaFarms Corporation             	GSF     	   0.180	   0.350	            0.220	           0.170
Glenbriar Technologies Inc.             	GTI     	   0.015	   0.025	            0.045	           0.010
Gravis Energy Corp.                     	GVE     	   0.030	   0.060	            0.060	           0.020
High 5 Ventures Inc.                    	HHH     	   0.100	        	                 	                
Hi Ho Silver Resources Inc.             	HHS     	   0.020	   0.040	            0.085	           0.010
Manitoba Hydro Bds XI 3 YR 2.3% 15JUN14 	HKA.DB.A	 100.230	        	          100.310	         100.310
Manitoba Hydro Bds XI 5 YR 2.75% 15JUN16	HKA.DB.B	 100.850	        	                 	                
Manitoba Hydro Bds XI 5 Yr F/R 1.75%0615	HKF.DB  	        	  99.640	          100.000	          99.640
HLD Land Development Limited Partnership	HLD.UN  	   0.015	   0.120	            0.160	           0.020
Hilltown Resources Inc.                 	HLT     	   0.070	   0.090	            0.200	           0.045
Hotline to HR Inc.                      	HTH     	        	   0.005	            0.050	           0.010
IOU Financial Inc.                      	IOU     	   0.310	   0.390	            0.500	           0.100
Jetcom Inc.                             	JTM     	   0.005	   0.030	            0.035	           0.005
Kariana Resources Inc.                  	KAA     	   0.070	   0.140	            0.300	           0.060
Cancor Mines Inc.                       	KCR     	   0.075	   0.100	            0.230	           0.050
Dizun International Enterprises Inc.    	KDZ     	        	   0.005	            0.500	           0.010
Khan Resources Inc.                     	KRI     	   0.160	   0.190	            0.210	           0.130
KWG Resources Inc.                      	KWG     	        	        	            0.085	           0.060
La Imperial Resources Inc.              	LAI     	   0.005	        	            0.030	           0.015
LCTI Low Carbon Technologies Intl Inc.  	LCT     	   0.005	   0.070	            0.150	           0.035
Lexaria Corp.                           	LXX     	   0.060	   0.150	            0.360	           0.050
MB Builder Bds XIII - 3yr 1.85% 15JUN15 	MBM.DB.A	  98.760	        	                 	                
MB Builder Bds XIII 5 Yr 2% 15JUN17     	MBM.DB.B	  96.230	        	                 	                
MB Blder XIII 2% Fixed Compound 15JUN17 	MBM.DB.C	 100.410	        	                 	                
MB Bldr XIII Ann F/R 1.75% 15JUN17      	MBM.DB.D	  99.640	        	                 	                
McLaren Resources Inc.                  	MCL     	   0.080	   0.100	            0.300	           0.070
ME Resource Corp.                       	MEC     	   0.050	   0.050	            0.600	           0.050
Montana Gold Mining Company Inc.        	MGM     	   0.025	   0.035	            0.150	           0.020
