CNSX Trading Daily Market Summary February 24 2011 Closing Numbers

Stock                                   	Symbol  	Vol(00s)	        High	     Low	   Close	   Change	           52W Hi	          52W Lo
CIC Mining Resources Ltd.               	RRR     	   0.025	   0.035	            0.070	           0.010
RT Minerals Corp.                       	RTM     	   0.190	   0.215	            0.340	           0.090
RTN Stealth Software Inc.               	RTN     	   0.075	   0.100	            0.500	           0.060
Ravencrest Resources Inc.               	RVT     	   0.175	   0.400	            0.170	           0.160
Razore Rock Resources Inc.              	RZR     	   0.050	   0.070	            0.060	           0.060
Silver Phoenix Resources Inc.           	SP      	        	   0.570	            0.580	           0.570
Stoneset Equity Development Corp.       	SQC     	   0.155	   0.050	            1.000	           0.130
Shamrock Enterprises Inc.               	SRS     	   0.330	   0.370	            0.540	           0.200
Sunorca Development Corp.               	SUN     	   0.040	   0.020	            0.200	           0.020
Sypher Resources Ltd.                   	SYP     	   0.350	   0.400	            0.380	           0.300
TrustMark Auto Group Inc.               	TAF     	   0.050	   0.030	            0.250	           0.030
Talmora Diamond Inc.                    	TAI     	   0.010	   0.050	            0.025	           0.010
Triple Dragon Resources Inc.            	TDN     	   0.150	   0.450	            0.220	           0.100
Twin Glacier Resources Ltd.             	TEL     	   0.070	        	                 	                
Triangle Multi-Services Corp.           	TMS     	   0.300	   0.550	            0.660	           0.005
TinyMassive Technologies Inc.           	TNY     	   0.070	   0.005	            0.280	           0.055
Enertopia Corp.                         	TOP     	   0.130	   0.160	            0.300	           0.110
Tulox Resources Inc.                    	TUX     	   0.060	   0.250	            0.110	           0.050
Vanguard Investments Corp.              	VIN     	        	        	            0.005	           0.005
VisionSky Corporation                   	VKY     	   0.100	   0.030	            0.060	           0.010
Valterra Resource Corp.                 	VTA     	   0.045	   0.010	            0.085	           0.025
Wedge Energy International Inc.         	WEG     	   0.005	   0.060	            0.040	           0.005
West Isle Energy Inc.                   	WEI     	   0.060	   0.050	            0.150	           0.020
Excalibur Resources Ltd.                	XBR     	   0.120	   0.140	            0.220	           0.070

	              Trades:	            180
	        Total Volume:	      2,536,124
	         Total Value:	       $632,740
	            Advanced:	             13
	            Declined:	             13
	           Unchanged:	            120

Note 1:  z - Full Volume.
Note 2:  Change calculated using unadjusted closing prices.
