CNSX Trading Daily Market Summary April 04 2011 Closing Numbers

Stock                                   	Symbol  	Vol(00s)	        High	     Low	   Close	   Change	           52W Hi	          52W Lo
Manitoba Hydro Bonds 10 - 5yr Ann Fixed 	HJA.DB.B	  96.000	        	          103.000	         100.000
Manitoba Hydro Bonds 10 - 5yr Cpd Fixed 	HJC.DB  	  96.000	        	                 	                
Manitoba Hydro 10 - Ann F/R 1.50%15JUN12	HJF.DB  	        	        	           99.750	          99.750
HLD Land Development Limited Partnership	HLD.UN  	   0.100	   0.400	            0.220	           0.110
Hilltown Resources Inc.                 	HLT     	   0.105	   0.115	            0.160	           0.040
Manitoba Hydro 9 - Ann Fl/R 1.5%6/15/11 	IFH.DB  	  96.000	        	           98.050	          97.000
Kokomo Enterprise                       	KKO     	   0.100	   0.250	            0.200	           0.075
La Imperial Resources Inc.              	LAI     	   0.070	   0.250	            0.100	           0.015
Lands End Resources Ltd.                	LND     	        	        	            0.100	           0.100
Lexaria Corp.                           	LXX     	   0.200	   0.340	            0.280	           0.085
McLaren Resources Inc.                  	MCL     	   0.140	   0.120	            0.350	           0.040
Montana Gold Mining Company Inc.        	MGM     	   0.250	   0.350	            0.350	           0.200
Minerva Minerals Ltd.                   	MIL     	   0.100	        	            0.200	           0.105
MacMillan Minerals Inc.                 	MMX     	   0.110	   0.120	            0.210	           0.030
Magna Resources Ltd.                    	MNA     	   0.150	        	            0.250	           0.100
Merus Labs International Inc.           	MR      	   0.105	   0.170	            0.300	           0.140
Golden Moor Inc.                        	MUD     	        	   0.110	            0.105	           0.105
Nass Valley Gateway Ltd.                	NVG     	   0.060	   0.080	            0.095	           0.040
Orca Power Corp.                        	OP      	   0.060	   0.030	            0.130	           0.010
Ona Power Corporation                   	OPO     	   0.080	        	            0.320	           0.040
Otterburn Ventures Inc.                 	OTB     	   0.480	   0.400	            0.590	           0.025
Premier Diagnostic Health Services Inc. 	PDH     	   0.110	   0.150	            0.750	           0.110
Pure Living Media Inc.                  	PLV     	   0.055	   0.005	            0.080	           0.055
Petrol One Corp.                        	POV     	   0.250	   0.200	                 	                
Park Lawn Company Limited               	PRL     	   2.750	        	            3.250	           3.000
Quinsam Capital Corporation             	QCA     	   0.005	        	            0.015	           0.005
QSolar Limited                          	QSL     	   0.100	   1.000	                 	                
QMI Seismic Inc.                        	QSS     	   0.010	        	            0.300	           0.020
Renforth Resources Inc.                 	RFR     	   0.035	   0.050	            0.095	           0.005
Regal Resources Inc.                    	RGR     	   0.380	   0.390	            0.560	           0.060
Range Gold Corp.                        	RGU     	        	   0.005	            0.220	           0.005
CIC Mining Resources Ltd.               	RRR     	   0.020	   0.005	            0.070	           0.010
Resaas Services Inc.                    	RSS     	   1.250	   1.450	            1.900	           0.300
Ravencrest Resources Inc.               	RVT     	   0.100	        	            0.180	           0.160
Stealth Energy Inc                      	SLH     	   0.120	   0.140	            0.240	           0.060
Silver Phoenix Resources Inc.           	SP      	        	   0.550	            0.580	           0.570
Stoneset Equity Development Corp.       	SQC     	   0.120	   0.050	            0.980	           0.110
Shamrock Enterprises Inc.               	SRS     	   0.300	   0.400	            0.540	           0.200
Strategic Resource Acquisition Corp.    	SRZ     	   0.110	   0.110	            0.210	           0.010
Sunorca Development Corp.               	SUN     	   0.035	   0.090	            0.100	           0.020
St-Georges Platinum and Base Metals Inc.	SX      	   0.145	   0.180	            0.290	           0.080
Sypher Resources Ltd.                   	SYP     	   0.350	        	            0.380	           0.300
TrustMark Auto Group Inc.               	TAF     	   0.015	   0.030	            0.250	           0.025
Talmora Diamond Inc.                    	TAI     	   0.030	   0.050	            0.025	           0.010
TAC Gold Corp.                          	TCG     	   0.120	   0.160	            0.310	           0.040
Triple Dragon Resources Inc.            	TDN     	   0.150	   0.450	            0.200	           0.100
Twin Glacier Resources Ltd.             	TEL     	   0.060	   1.000	            0.060	           0.060
Triangle Multi-Services Corp.           	TMS     	   0.050	   0.250	            0.660	           0.005
Enertopia Corp.                         	TOP     	   0.135	   0.300	            0.300	           0.110
Tulox Resources Inc.                    	TUX     	   0.070	   0.500	            0.110	           0.050
Vanguard Investments Corp.              	VIN     	        	        	            0.005	           0.005
VisionSky Corporation                   	VKY     	   0.265	   0.500	            0.260	           0.010
Valterra Resource Corp.                 	VTA     	   0.060	   0.050	            0.085	           0.030
Wedge Energy International Inc.         	WEG     	   0.005	   0.005	            0.020	           0.005
West Isle Energy Inc.                   	WEI     	   0.110	   0.200	            0.150	           0.020

	              Trades:	            196
	        Total Volume:	      3,093,984
	         Total Value:	       $799,197
	            Advanced:	             18
	            Declined:	              9
	           Unchanged:	            123

Note 1:  z - Full Volume.
Note 2:  Change calculated using unadjusted closing prices.
