 CNQ Daily Market Summary June 20 2007 Closing Numbers

Stock               Symbol         Vol(00s)	   High	    Low	  Close	  Change	   52W Hi	   52W Lo
Range Metals Inc.   	RMIC        	1.10   	1.25   	2.00     	0.50     
Roxmark Mines Ltd   	RMKL        	0.125  	0.45   	0.35     	0.10     
Rockhaven           	ROCK        	0.46   	0.60   	0.46     	0.40     
Seafield Res. Ltd.  	SEAF        	0.15   	0.20   	0.25     	0.10     
Wintercrest Res     	SMRT        	0.00   	0.025  	0.005    	0.005    
Simplex             	SPLX        	0.015  	0.05   	0.135    	0.005    
Sunorca Dev.        	SUNO        	0.10   	0.14   	0.15     	0.04     
Talmora Diamond     	TALM        	0.05   	0.10   	0.10     	0.05     
Triple Dragon       	TDRN        	0.28   	0.34   	0.35     	0.26     
Titan Emp Serv Ltd  	TESI        	0.35   	0.80   	0.00     	0.00     
Triangle MS Corp.   	TTTM        	0.04   	0.06   	0.05     	0.02     
United Reef Ltd     	URPL        	0.03   	1.00   	0.00     	0.00     
VisionSky Wts       	VSKY.W      	0.00   	0.00   	0.00     	0.00     
Wildcat             	WILD        	0.51   	0.55   	1.88     	0.45     
Gray Wolf Deb       	WOLF.D      	0.00   	25.00  	40.00    	40.00    
Gray Wolf Cl B Pr.  	WOLF.P.B    	0.00   	0.005  	0.05     	0.005    

   Total Volume    Total Value    # of Trades       Advanced       Declined      Unchanged
      2,530,856     $1,113,999            153             10              0             22

Note:  z - Full Volume.
